name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2022-02-08,30,14.4,22.9,30.8,14.4,23,16.2,68.3,4.1,100,12.5,rain,0,0,21.2,29.5,228.6,1015,61.2,15.2,281,24.1,10,10,2022-02-08T06:49:13,2022-02-08T18:56:54,0.25,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-09,28.1,15.1,22.7,28.3,15.1,22.8,17.1,72,0.3,100,12.5,rain,0,0,31.7,31.7,250.5,1015.1,63.6,15.7,279.7,24.1,10,10,2022-02-09T06:49:15,2022-02-09T18:56:55,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-10,29.1,14.3,23,30.5,14.3,23.1,15.8,65.6,0,0,0,,0,0,35.3,27.7,251.6,1014.5,52.6,17,308.9,26.6,10,10,2022-02-10T06:49:17,2022-02-10T18:56:55,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-11,29.8,16.2,23,30.3,16.2,23.2,17.3,72.4,0,0,0,rain,0,0,30.2,31.7,239.2,1013.9,50.8,14.1,280.6,24.1,10,10,2022-02-11T06:49:19,2022-02-11T18:56:55,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-12,29,14.6,21.4,30.3,14.6,21.6,16,73,1.2,100,25,rain,0,0,57.6,37.1,244.6,1014.6,46.1,14.8,286.6,24.8,10,10,2022-02-12T06:49:19,2022-02-12T18:56:54,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-13,28,17,22.2,29.7,17,22.5,16.8,73,0,0,0,,0,0,37.8,31.7,227.3,1013.8,69.2,13.4,287,24.8,9,10,2022-02-13T06:49:19,2022-02-13T18:56:52,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-14,29,14.5,22.5,29.8,14.5,22.7,15.7,67.1,0.7,100,20.83,rain,0,0,37.1,29.5,275.6,1013.8,39,14.8,290.5,25,9,10,2022-02-14T06:49:18,2022-02-14T18:56:49,0.42,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-15,28,20,23.7,29.2,20,23.9,17.9,71.2,0.3,100,8.33,rain,0,0,37.4,13,219.4,1015,66.7,12.9,275.3,23.9,9,10,2022-02-15T06:49:16,2022-02-15T18:56:45,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2022-02-16,29,15.3,22,30.8,15.3,22.3,17.2,75.3,0.2,100,8.33,rain,0,0,37.8,25.9,209.1,1013.8,48,15.9,287.9,24.8,10,10,2022-02-16T06:49:13,2022-02-16T18:56:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-17,29,15.1,21.5,29.8,15.1,21.7,16.1,73.5,0.4,100,12.5,rain,0,0,38.2,29.5,202.1,1012.5,58.7,18.6,278.3,24.2,9,10,2022-02-17T06:49:10,2022-02-17T18:56:36,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999,remote"
